CpG,Location,Chr,Pos,Gene,Type,Beta,SE,P,Details,StudyID,Author,Consortium,PMID,Date,Trait,EFO,Analysis,Source,Outcome,Exposure,Covariates,Outcome_Units,Exposure_Units,Methylation_Array,Tissue,Further_Details,N,N_Cohorts,Age,Sex,Ancestry
cg27031099,chr8:126620534,8,126620534,-,Open sea,0.0585,0.00819,1.8e-11,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg01528832,chr10:65225240,10,65225240,JMJD1C;LOC84989,Island,-0.182,0.0416,2.9e-05,NA,23792949_Battram-T_ethnicity_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse39672__compared_european_and_african_samples_from_hapmap__ceu_and_yri_,Battram T,GEO,23792949,2020-09-15,Ethnicity,EFO_0001799,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE39672. Compared European and African samples from HapMap (CEU and YRI),NA,DNA methylation,Ethnicity,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Lymphoblasts,NA,133,1,Adults,Both,"European, African"
cg27031099,chr8:126620534,8,126620534,-,Open sea,0.00061,0.00015,5.1e-05,NA,23177740_Battram-T_age_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse40279,Battram T,GEO,23177740,2020-09-15,Age,EFO_0000246,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE40279,NA,DNA methylation,Age,"Batch effects, cell composition (reference free)",Beta Values,Years,Illumina HumanMethylation450,Whole blood,NA,656,1,Adults,Both,Unclear
cg00240732,chr7:70923396,7,70923396,WBSCR17,Open sea,0.0331,0.00597,1.4e-07,NA,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640,Battram T,GEO,27886173,2020-09-15,Ulcerative colitis,EFO_0000729,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE87640,NA,DNA methylation,Ulcerative colitis,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,163,1,Adults,Both,European
cg09756125,chr7:158250978,7,158250978,PTPRN2,South shore,-0.1272,0.02562,2e-06,NA,27886173_Battram-T_crohn_s_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640,Battram T,GEO,27886173,2020-09-15,Crohn's disease,EFO_0000384,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE87640,NA,DNA methylation,Crohn's disease,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,161,1,Adults,Both,European
cg12751644,chr20:60527061,20,60527061,-,South shelf,0.0641,0.01349,5e-06,NA,27886173_Battram-T_crohn_s_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640,Battram T,GEO,27886173,2020-09-15,Crohn's disease,EFO_0000384,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE87640,NA,DNA methylation,Crohn's disease,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,161,1,Adults,Both,European
cg19336497,chr11:14380999,11,14380999,RRAS2,South shore,0.0513,0.01096,6.8e-06,NA,27886173_Battram-T_crohn_s_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640,Battram T,GEO,27886173,2020-09-15,Crohn's disease,EFO_0000384,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE87640,NA,DNA methylation,Crohn's disease,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,161,1,Adults,Both,European
cg23084506,chr1:13111908,1,13111908,PRAMEF5,Open sea,-0.0684,0.01338,1e-06,NA,27886173_Battram-T_crohn_s_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640,Battram T,GEO,27886173,2020-09-15,Crohn's disease,EFO_0000384,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE87640,NA,DNA methylation,Crohn's disease,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,161,1,Adults,Both,European
cg26308704,chr7:158325586,7,158325586,PTPRN2;MIR595,Open sea,0.0429,0.00815,5.3e-07,NA,27886173_Battram-T_crohn_s_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640,Battram T,GEO,27886173,2020-09-15,Crohn's disease,EFO_0000384,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE87640,NA,DNA methylation,Crohn's disease,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,161,1,Adults,Both,European
cg26509731,chr6:80578590,6,80578590,-,Open sea,0.0595,0.00926,1.9e-09,NA,27886173_Battram-T_crohn_s_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640,Battram T,GEO,27886173,2020-09-15,Crohn's disease,EFO_0000384,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE87640,NA,DNA methylation,Crohn's disease,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,161,1,Adults,Both,European
cg26509731,chr6:80578590,6,80578590,-,Open sea,-0.0455,0.00813,6.6e-08,NA,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640,Battram T,GEO,27886173,2020-09-15,Inflammatory bowel disease,EFO_0003767,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE87640,NA,DNA methylation,Inflammatory bowel disease,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,240,1,Adults,Both,European
cg09506675,chr7:112727914,7,112727914,GPR85,Open sea,0.0159,0.0033,1.6e-06,NA,31536415_Sikdar-S_prenatal_smoke_exposure_inverse_varience-weighted_fixed-effects_meta-analysis,Sikdar S,PACE,31536415,2019-09-19,Prenatal smoke exposure,"EFO_0009115, EFO_0008361, EFO_0006527, EFO_0004318",Inverse varience-weighted fixed-effects meta-analysis,Table S1,DNA methylation,Prenatal smoke exposure,"Maternal age, socioeconomic position, cell composition (reference based), batch effects",Beta Values,NA,Illumina HumanMethylation450,"Cord blood, whole blood",NA,5648,9,Infants,Both,"European, African, Unclear"
cg24786658,chr7:112727423,7,112727423,GPR85,Open sea,0.0118,0.0026,5.6e-06,NA,31536415_Sikdar-S_prenatal_smoke_exposure_inverse_varience-weighted_fixed-effects_meta-analysis,Sikdar S,PACE,31536415,2019-09-19,Prenatal smoke exposure,"EFO_0009115, EFO_0008361, EFO_0006527, EFO_0004318",Inverse varience-weighted fixed-effects meta-analysis,Table S1,DNA methylation,Prenatal smoke exposure,"Maternal age, socioeconomic position, cell composition (reference based), batch effects",Beta Values,NA,Illumina HumanMethylation450,"Cord blood, whole blood",NA,5648,9,Infants,Both,"European, African, Unclear"
cg27031099,chr8:126620534,8,126620534,-,Open sea,-0.00576,0.00141,4.4e-05,NA,31536415_Sikdar-S_smoking_random_effects_meta-analysis,Sikdar S,CHARGE,31536415,2019-09-19,Smoking,"EFO_0009115, EFO_0006527, EFO_0004318",random effects meta-analysis,Table S2,DNA methylation,Smoking,"Age, sex, cell composition (reference based), batch effects",Beta Values,NA,Illumina HumanMethylation450,"Whole blood, CD4+ T cells, CD14+ monocytes",NA,15907,16,Adults,Both,"European, African, Other"
cg01159980,chr5:16509017,5,16509017,FAM134B,Open sea,-0.0114,0.0021,1.2e-07,NA,31230546_Kazmi-N_hypertensive_disorders_of_pregnancy_meta_analysis_unadjusted_model,Kazmi N,PACE,31230546,2019-06-24,Hypertensive disorders of pregnancy,"MONDO_0024664, EFO_0000537, EFO_0000668",Meta analysis unadjusted model,Table S3,DNA methylation,Hypertensive disorders of pregnancy,NA,Beta Values,NA,Illumina HumanMethylation450,Cord blood,NA,5242,10,Infants,Both,Unclear
cg10638439,chr6:31371271,6,31371271,MICA,Island,0.0043,9e-04,3.1e-06,NA,31230546_Kazmi-N_preeclampsia_meta_analysis_unadjusted_model,Kazmi N,PACE,31230546,2019-06-24,Preeclampsia,EFO_0000668,Meta analysis unadjusted model,Table S5,DNA methylation,Preeclampsia,"Cell composition (reference based), batch effects, age, smoking, parity, diabetes, body mass index, sex",Beta Values,NA,Illumina HumanMethylation450,Cord blood,NA,3460,6,Infants,Both,Unclear
cg27031099,chr8:126620534,8,126620534,-,Open sea,0.0373,0.0092,4.7e-05,NA,31230546_Kazmi-N_preeclampsia_meta_analysis_unadjusted_model,Kazmi N,PACE,31230546,2019-06-24,Preeclampsia,EFO_0000668,Meta analysis unadjusted model,Table S5,DNA methylation,Preeclampsia,"Cell composition (reference based), batch effects, age, smoking, parity, diabetes, body mass index, sex",Beta Values,NA,Illumina HumanMethylation450,Cord blood,NA,3460,6,Infants,Both,Unclear
cg20910361,chr4:141877033,4,141877033,RNF150,Open sea,0.028,0.00677,9.3e-05,NA,31910897_Cronjé-HT_c-reactive_protein,,,,,,,,,,,,,,,,,,,,,
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,NA,NA,1.4e-05,NA,31789449_Dugue-P-A_alcohol_consumption_lifetime_consumption_discovery,Dugue P-A,Melbourne Collaborative Cohort Study,31789449,2019-11-04,Alcohol consumption,"EFO_0004329, EFO_0007878",Lifetime consumption discovery,Supplementary Table 3,Alcohol consumption,DNA methylation,"age, sex, smoking, body mass index  country of birth, sample type, cell composition (reference based),  batch effects",g/day,M Values,Illumina HumanMethylation450,Whole blood,NA,5606,1,Adults,Both,Unclear
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,NA,NA,6.5e-07,NA,31789449_Dugue-P-A_alcohol_consumption_previous_week_consumption_discovery,Dugue P-A,Melbourne Collaborative Cohort Study,31789449,2019-11-04,Alcohol consumption,"EFO_0004329, EFO_0007878",Previous week consumption discovery,Supplementary Table 3,Alcohol consumption,DNA methylation,"age, sex, smoking, body mass index  country of birth, sample type, cell composition (reference based),  batch effects",g/day,M Values,Illumina HumanMethylation450,Whole blood,NA,5606,1,Adults,Both,Unclear
cg15525848,chr5:16509123,5,16509123,FAM134B,Open sea,NA,NA,2.5e-06,NA,31789449_Dugue-P-A_alcohol_consumption_previous_week_consumption_discovery,Dugue P-A,Melbourne Collaborative Cohort Study,31789449,2019-11-04,Alcohol consumption,"EFO_0004329, EFO_0007878",Previous week consumption discovery,Supplementary Table 3,Alcohol consumption,DNA methylation,"age, sex, smoking, body mass index  country of birth, sample type, cell composition (reference based),  batch effects",g/day,M Values,Illumina HumanMethylation450,Whole blood,NA,5606,1,Adults,Both,Unclear
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,NA,NA,2.1e-07,NA,31789449_Dugue-P-A_alcohol_consumption_previous_decade_consumption_discovery,Dugue P-A,Melbourne Collaborative Cohort Study,31789449,2019-11-04,Alcohol consumption,"EFO_0004329, EFO_0007878",Previous decade consumption discovery,Supplementary Table 3,Alcohol consumption,DNA methylation,"age, sex, smoking, body mass index  country of birth, sample type, cell composition (reference based),  batch effects",g/day,M Values,Illumina HumanMethylation450,Whole blood,NA,5606,1,Adults,Both,Unclear
cg24786658,chr7:112727423,7,112727423,GPR85,Open sea,0.058,NA,1.9e-05,NA,31324826_Shiau-S_perinatally_acquired_hiv,Shiau S,NA,31324826,2019-07-19,Perinatally acquired HIV,EFO_0000764,NA,Table S1,DNA methylation,Perinatally acquired HIV,"sex, age, cell composition (reference based)",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,180,1,Children,Both,African
cg07252486,chr11:131533199,11,131533199,C11orf39;NTM,Open sea,NA,NA,6.1e-05,NA,32453742_NatriI-H_papuan_ancestry,NatriI H,NA,32453742,2020-05-26,Papuan ancestry,"HANCESTRO_0304, HANCESTRO",NA,Supplementary Table 6,DNA methylation,Papuan ancestry,"batch effects, age, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylationEPIC,Whole blood,NA,116,1,Adults,Both,South Asian
cg14865086,chr17:17179362,17,17179362,COPS3,Open sea,NA,NA,4.5e-06,NA,32453742_NatriI-H_papuan_ancestry,NatriI H,NA,32453742,2020-05-26,Papuan ancestry,"HANCESTRO_0304, HANCESTRO",NA,Supplementary Table 6,DNA methylation,Papuan ancestry,"batch effects, age, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylationEPIC,Whole blood,NA,116,1,Adults,Both,South Asian
cg05715076,chr14:100075957,14,100075957,-,Open sea,NA,NA,8e-06,NA,32453742_NatriI-H_papuan_ancestry,NatriI H,NA,32453742,2020-05-26,Papuan ancestry,"HANCESTRO_0304, HANCESTRO",NA,Supplementary Table 6,DNA methylation,Papuan ancestry,"batch effects, age, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylationEPIC,Whole blood,NA,116,1,Adults,Both,South Asian
cg06928226,chr11:131514367,11,131514367,NTM,Open sea,NA,NA,2.8e-05,NA,32453742_NatriI-H_papuan_ancestry,NatriI H,NA,32453742,2020-05-26,Papuan ancestry,"HANCESTRO_0304, HANCESTRO",NA,Supplementary Table 6,DNA methylation,Papuan ancestry,"batch effects, age, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylationEPIC,Whole blood,NA,116,1,Adults,Both,South Asian
cg06159004,chr11:35068850,11,35068850,-,Open sea,NA,NA,9.8e-05,NA,32453742_NatriI-H_papuan_ancestry,NatriI H,NA,32453742,2020-05-26,Papuan ancestry,"HANCESTRO_0304, HANCESTRO",NA,Supplementary Table 6,DNA methylation,Papuan ancestry,"batch effects, age, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylationEPIC,Whole blood,NA,116,1,Adults,Both,South Asian
cg27031099,chr8:126620534,8,126620534,-,Open sea,NA,NA,7.1e-05,NA,32453742_NatriI-H_papuan_ancestry,NatriI H,NA,32453742,2020-05-26,Papuan ancestry,"HANCESTRO_0304, HANCESTRO",NA,Supplementary Table 6,DNA methylation,Papuan ancestry,"batch effects, age, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylationEPIC,Whole blood,NA,116,1,Adults,Both,South Asian
cg23032677,chr17:18671452,17,18671452,FBXW10,Open sea,NA,NA,1.2e-08,NA,32453742_NatriI-H_papuan_ancestry,NatriI H,NA,32453742,2020-05-26,Papuan ancestry,"HANCESTRO_0304, HANCESTRO",NA,Supplementary Table 6,DNA methylation,Papuan ancestry,"batch effects, age, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylationEPIC,Whole blood,NA,116,1,Adults,Both,South Asian
cg00240732,chr7:70923396,7,70923396,WBSCR17,Open sea,NA,NA,7.1e-06,NA,32453742_NatriI-H_papuan_ancestry,NatriI H,NA,32453742,2020-05-26,Papuan ancestry,"HANCESTRO_0304, HANCESTRO",NA,Supplementary Table 6,DNA methylation,Papuan ancestry,"batch effects, age, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylationEPIC,Whole blood,NA,116,1,Adults,Both,South Asian
cg19336497,chr11:14380999,11,14380999,RRAS2,South shore,NA,NA,9.5e-05,NA,32453742_NatriI-H_papuan_ancestry,NatriI H,NA,32453742,2020-05-26,Papuan ancestry,"HANCESTRO_0304, HANCESTRO",NA,Supplementary Table 6,DNA methylation,Papuan ancestry,"batch effects, age, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylationEPIC,Whole blood,NA,116,1,Adults,Both,South Asian
cg21897367,chr7:142759657,7,142759657,OR6W1P,Open sea,-0.00037,6e-05,7.7e-10,NA,29016858_Sharp-GC_maternal_body_mass_index_meta-analysis,Sharp GC,PACE,29016858,2017-10-15,Maternal body mass index,EFO_0004340,Meta-analysis,Table S3,DNA methylation,Maternal body mass index,"Maternal age, maternal socio-economic position, maternal smoking, parity",kg/m2,Beta Values,Illumina HumanMethylation450,Cord blood,NA,7523,19,Infants,Both,European
cg21897367,chr7:142759657,7,142759657,OR6W1P,Open sea,-0.00037,6e-05,7.7e-10,NA,29410382_Lichtenfels-AJ_nitrogen_dioxide_exposure,Lichtenfels AJ,LifeLines cohort study,29410382,2018-02-06,Nitrogen dioxide exposure,EFO_0007908,NA,Table S1,Nitrogen dioxide exposure,DNA methylation,"Sex, age, body mass index, smoking, cell composition (reference based)",ug/m3,Beta Values,Illumina HumanMethylation450,Whole blood,NA,1656,1,Adults,Both,European
cg00240732,chr7:70923396,7,70923396,WBSCR17,Open sea,6e-04,0.00015,7.7e-05,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg01049884,chr8:48418189,8,48418189,KIAA0146,Open sea,-0.00064,0.00012,1.3e-07,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg01159980,chr5:16509017,5,16509017,FAM134B,Open sea,0.001,0.00021,1e-06,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg01334824,chr15:27787650,15,27787650,-,South shore,-0.00074,0.00017,1.3e-05,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg02255242,chr15:33420912,15,33420912,-,Open sea,-0.0034,0.00023,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg03039387,chr6:31364895,6,31364895,-,North shelf,0.00081,0.00018,7.9e-06,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,0.00082,0.00012,1.5e-12,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg05554000,chr7:158905015,7,158905015,VIPR2,North shore,-0.0024,0.00025,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg06604206,chr5:167912465,5,167912465,RARS,North shore,-0.0013,2e-04,3.3e-10,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg06941159,chr16:28875210,16,28875210,SH2B1,Island,-0.00037,3.6e-05,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg07103846,chr17:80970159,17,80970159,B3GNTL1,Island,-0.004,0.00035,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg09205595,chr7:150782539,7,150782539,AGAP3,North shore,-0.0021,0.00016,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg09420691,chr21:43229483,21,43229483,PRDM15,Island,-0.0024,0.00016,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg09506675,chr7:112727914,7,112727914,GPR85,Open sea,-0.0023,0.00018,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg09911534,chr15:67153556,15,67153556,-,Open sea,-0.001,0.00015,3.4e-11,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg10578777,chr12:7781093,12,7781093,-,Island,-0.0014,0.00019,9.2e-13,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg10638439,chr6:31371271,6,31371271,MICA,Island,-6.8e-05,1.4e-05,1.7e-06,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg11340603,chr12:79816965,12,79816965,SYT1,Open sea,-0.0011,0.00024,6e-06,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg12580445,chr5:121414634,5,121414634,LOX,South shore,-0.0031,0.00026,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg12751644,chr20:60527061,20,60527061,-,South shelf,0.0011,0.00023,2.2e-06,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg14906510,chr12:7781169,12,7781169,-,Island,-0.0011,2e-04,7.2e-08,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg15501526,chr10:2543763,10,2543763,-,Island,-0.008,0.00038,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg15587955,chr8:19026658,8,19026658,-,Open sea,-0.0019,0.00015,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
